"creator","capacity","count","percentage","parking_facility_id","name","occupancy_id","created_at","updated_at"
"ue30420",27,6,22,"48b417a7-45c7-48e8-a0eb-e5092060e42f","Däniken","eea2c3dc-afd1-4e2c-93d4-887cb7ac9d4b","2021-04-07 12:34:00+00","2021-04-07 12:34:00+00"
"u140093",39,29,74,"db470f42-f2c8-459e-a82d-a5982ea4d951","Grolley","ea0e0ca9-04ec-4e37-b1d2-027cd60c8d28","2020-10-02 11:19:00+00","2020-10-02 11:19:00+00"
"u223758",98,20,20,"1a647747-0521-4eb7-89fa-3b1de929adb1","Mettmenstetten","4755eb17-3294-4069-9327-ae7d114bf757","2020-10-30 10:25:00+00","2020-10-30 10:25:00+00"
"U201186",55,18,33,"bbefd5bf-5b53-4714-b89d-854f74aa3caf","Busswil bei Büren","05d39c93-4a26-4f4b-bf3c-bea36f6ffbcb","2020-12-17 11:22:00+00","2020-12-17 11:22:00+00"
"ue31240",14,14,100,"1c2289a2-91e1-402d-a0ba-47582b82660c","Zürich Seebach","bf2cf86f-1d54-465c-9d8b-39542d2df7b1","2021-03-16 09:10:00+00","2021-03-16 09:10:00+00"
"e525066",15,14,93,"2c7c3ca3-077c-4985-8d2c-44f2e4b207d0","Zürich HB - Kurzzeitparkplatz","c62224d4-7697-481e-8f46-0c06b8aa2959","2021-10-05 17:57:00+00","2021-10-05 17:57:00+00"
"ue08618",14,1,7,"a569e255-7e84-4a09-99b6-5a564f52378f","Rekingen","c788a806-f6ee-4b56-af5e-14b8d57eca59","2021-03-03 07:52:00+00","2021-03-03 07:52:00+00"
"ue72360",43,27,63,"3aa9e036-53d2-4a5d-8af4-02cc51804119","Porrentruy","86466c11-171f-46d5-8e53-ac1d97a5beca","2021-10-06 09:01:00+00","2021-10-06 09:01:00+00"
"ue88117",25,18,72,"986fb329-0bb2-4738-9854-914b3ddc1c99","Aarburg-Oftringen","5080e745-a1a2-4fde-acd1-b7bb9de290c7","2021-10-07 06:41:00+00","2021-10-07 06:41:00+00"
"e525784",164,133,81,"e511d897-336a-45a7-b32b-989934a51846","Gland","a4f2ad5b-f3f2-457e-bc4b-637a11aedb14","2021-10-08 09:21:00+00","2021-10-08 09:21:00+00"
"e522023",18,8,44,"744ff447-2cb4-4988-b8bc-9abcb89bf778","Bern Güterbahnhof","c44f0cc7-ed04-45a5-988f-be89850d8da7","2021-10-13 07:16:00+00","2021-10-13 07:16:00+00"
