,12h,24h,7d,date
379,25.751034,26.236351,,2021-09-01 17:00:00
380,17.456345,19.735922,,2021-09-01 18:00:00
381,13.558444,15.835673,,2021-09-01 19:00:00
382,9.583013,10.431581,,2021-09-01 20:00:00
383,7.9921803,8.137811,,2021-09-01 21:00:00
384,6.359901,6.5278482,,2021-09-01 22:00:00
385,5.0087247,5.383662,,2021-09-01 23:00:00
386,4.5499315,6.1972704,,2021-09-02 00:00:00
387,4.532429,5.0608807,,2021-09-02 01:00:00
388,4.6923656,5.300928,,2021-09-02 02:00:00
389,7.4164968,6.486273,,2021-09-02 03:00:00
390,6.3822694,6.498068,,2021-09-02 04:00:00
391,12.240663,11.275438,,2021-09-02 05:00:00
392,28.562773,28.265821,,2021-09-02 06:00:00
393,44.292614,40.495365,,2021-09-02 07:00:00
394,46.363243,53.32571,,2021-09-02 08:00:00
395,56.99,57.68828,,2021-09-02 09:00:00
396,58.100502,58.24854,,2021-09-02 10:00:00
397,57.41433,54.97091,,2021-09-02 11:00:00
398,54.228184,57.78505,,2021-09-02 12:00:00
399,59.41118,59.066795,,2021-09-02 13:00:00
400,54.996243,57.366158,,2021-09-02 14:00:00
401,49.738625,47.41496,,2021-09-02 15:00:00
402,41.562805,39.397575,,2021-09-02 16:00:00
403,25.440691,26.324654,,2021-09-02 17:00:00
404,16.62989,18.556936,,2021-09-02 18:00:00
405,11.881855,11.17823,,2021-09-02 19:00:00
406,8.755548,8.562916,,2021-09-02 20:00:00
407,7.0979643,6.594512,,2021-09-02 21:00:00
408,5.031665,5.234484,,2021-09-02 22:00:00
409,3.8316016,4.2263327,,2021-09-02 23:00:00
410,4.741583,4.9499397,,2021-09-03 00:00:00
411,5.425084,5.4167695,,2021-09-03 01:00:00
412,4.4883304,5.395681,,2021-09-03 02:00:00
413,5.5455017,5.2577615,,2021-09-03 03:00:00
414,5.6524796,5.437751,,2021-09-03 04:00:00
415,10.048059,11.326746,,2021-09-03 05:00:00
416,22.558071,24.18356,,2021-09-03 06:00:00
417,36.213505,39.439198,,2021-09-03 07:00:00
418,42.561443,44.678455,,2021-09-03 08:00:00
419,46.45237,48.89389,,2021-09-03 09:00:00
420,49.35973,50.884846,,2021-09-03 10:00:00
421,50.8566,55.174236,,2021-09-03 11:00:00
422,49.898586,50.925877,,2021-09-03 12:00:00
423,50.033474,52.971638,,2021-09-03 13:00:00
424,53.31236,54.75434,,2021-09-03 14:00:00
425,48.15176,48.084682,,2021-09-03 15:00:00
426,42.770084,39.26449,,2021-09-03 16:00:00
427,31.272738,30.03174,,2021-09-03 17:00:00
428,21.117035,21.28447,,2021-09-03 18:00:00
429,15.865765,15.531387,,2021-09-03 19:00:00
430,11.406495,11.563396,,2021-09-03 20:00:00
431,8.726079,8.181905,,2021-09-03 21:00:00
432,6.3542805,6.3665304,,2021-09-03 22:00:00
433,4.8397164,6.0145254,,2021-09-03 23:00:00
434,5.475715,6.142278,,2021-09-04 00:00:00
435,5.9702625,7.3961253,,2021-09-04 01:00:00
436,6.6976304,6.481942,,2021-09-04 02:00:00
437,6.1120872,6.2616334,,2021-09-04 03:00:00
438,6.187948,6.020489,,2021-09-04 04:00:00
439,8.0160055,7.686706,,2021-09-04 05:00:00
440,9.681535,9.681535,,2021-09-04 06:00:00
441,12.5214815,12.031561,,2021-09-04 07:00:00
442,16.036423,18.246653,,2021-09-04 08:00:00
443,27.073702,18.559368,,2021-09-04 09:00:00
444,22.935379,22.075762,,2021-09-04 10:00:00
445,22.531712,25.720673,,2021-09-04 11:00:00
446,22.848904,28.00603,,2021-09-04 12:00:00
447,20.493317,26.568548,,2021-09-04 13:00:00
448,16.151087,28.824738,,2021-09-04 14:00:00
449,10.487106,26.094095,,2021-09-04 15:00:00
450,13.049572,20.925907,,2021-09-04 16:00:00
451,6.6397724,16.953863,,2021-09-04 17:00:00
452,9.352624,11.074279,,2021-09-04 18:00:00
453,8.034706,9.386977,,2021-09-04 19:00:00
454,7.819125,8.499621,,2021-09-04 20:00:00
455,7.7921467,7.2063484,,2021-09-04 21:00:00
456,6.0849233,6.3024635,,2021-09-04 22:00:00
457,5.572311,5.5402656,,2021-09-04 23:00:00
458,4.2340865,5.496526,,2021-09-05 00:00:00
459,4.163859,5.7046556,,2021-09-05 01:00:00
460,6.138983,5.803745,,2021-09-05 02:00:00
461,6.596079,6.8170943,,2021-09-05 03:00:00
462,6.251254,6.424228,,2021-09-05 04:00:00
463,6.2838545,5.9681544,,2021-09-05 05:00:00
464,6.3755937,6.641858,,2021-09-05 06:00:00
465,7.7008843,7.2426887,,2021-09-05 07:00:00
466,8.895554,8.230343,,2021-09-05 08:00:00
467,9.66264,9.32776,,2021-09-05 09:00:00
468,10.835924,9.996937,,2021-09-05 10:00:00
469,11.595471,12.012019,,2021-09-05 11:00:00
